tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Copa (Brasil),2022/1/1,11,Briante Pires Marco,,Correia Jr. Moises,,A,,f5d6c5f4e3c6e6d3c4d2f3c3f2f7c2f6b4b3b5e2e1a3f1a4f8c1d1g3b1g4g5h5d7g6b6c8d8c7a6e7a5a7e8b7g7g1h1h8g2g8h2b2h4h6a1h3a2h7a8b8,
Copa (Brasil),2022/1/1,12,Fritsch Evans,,Briante Pires Marco,,A,,f5d6c3d3c4f4c5b4b3e6c6b5e3f2f3g5d7g4e7f6f1f7g3e2a5c2c1h3h6h5a6e8d2c8h4h7d8c7b6h2g6a3g2a4b7d1a2h1f8a8e1b8a7a1g1b1b2g8g7h8,
Copa (Brasil),2022/1/1,13,Fernandez Clemente,,Briante Pires Marco,,A,,f5d6c6f4f3c5b5f6e6g4h3e7g3c4f8d7g6g5h5b6d8f7c3d3g8e8a7c7c8h8e3b4a4b3b2d2d1b8g7a5a6h7h6h4a1b1a2c2a3a8b7c1e2g2f2f1e1h2g1h1,
Copa (Brasil),2022/1/1,14,Dairokuno Mitsuru,,Fritsch Evans,,A,,f5f6e6f4e3d6g4h3c4c3c2d3c5g3d2e2f3f2e1c1d7c7h5c8f1b1g5h6h7g6f7b3c6b4b5a5b6f8e8d8e7a6a3g2d1h4h1h2g1b2a1h8a7a8b8b7g8g7a4a2,
Copa (Brasil),2022/1/1,15,Briante Pires Marco,,Haddad Michel,,A,,f5d6c5f4e3c6e6f3d3f7e7f6g4d7g5g3e8h6c4d8h5f8g6h4c8b5g8e2h3g7b3b4e1f1g1f2c7a2d1d2h8h7b6c3c1c2g2b7b8h1h2b1a8a7a4a3a1a6a5b2,
Copa (Brasil),2022/1/1,16,Travain Joao Vitor,,Fritsch Evans,,A,,f5f6e6f4g5d6c5c6e7d7b6g4d3c7e3f3f2a6d8g3c8f8e8b5a5a4h4b8b7c4b4a8a7d2a3a2e2b3c3f7g7g8c2c1b2d1e1a1b1h8h7g6h6h5h3g2h2f1g1h1,
Copa (Brasil),2022/1/1,17,Dairokuno Mitsuru,,da Silva Kaua Danta,,A,,f5d6c3f4e6f3e3f7c5b4e7d2c6d7c4b5b6g5f6b3a5a4a3a6a7c7a2d3c2c1c8d8e8f8g8g6h6b7h5h4a8h7b8g7h8h3g4e1e2f1f2g3g2h1h2d1b2a1g1b1,
Copa (Brasil),2022/1/1,18,Caeiro Luis Fernand,,Correia Jr. Moises,,A,,f5d6c3d3c4f3c2b3a3c1b2f4f2a1b4a2d7a4e6e3e2g3g2c5b5c6a5a6b6a7h2d2d1e1b1h4g1e8h3e7d8c8c7b8h5g4f6f7f1h1f8g8g7g5g6h8b7a8h7h6,
Copa (Brasil),2022/1/1,19,De Camargo Lucas,,Lima Joao Vitor,,A,,f5f6e6f4e3d6g4h4g5h5h6f3h3g6e2e1d3d2c1d1f1f2g3g2c5b4h1c4h2g1h7g7h8f7e8f8g8b1a1c2c3e7d7c8d8c7b8a8b7b3b2c6b5b6a3a2a4a5a6a7,
Copa (Brasil),2022/1/1,20,Rodrigues Poliana Y,,Dairokuno Mitsuru,,A,,f5d6c5f4d7f6g5e6f7e7d8g4h3h6h5g6d3f8g3f3e3c6c7h4h7f2e2e1d2e8f1g1g7c8g8b4c4b8b7a8b6a7b5h8a4h2g2h1a6a5a3c2d1c1b2b3c3a1b1a2,
Copa (Brasil),2022/1/1,21,Rodrigues Poliana Y,,Correia Jr. Moises,,A,,f5d6c5f4d7c6b6f6d3c4e3c3b3e2f1e1f2g1f3d2d1c1c2b1g3a3b4h3g4h4g5e6b5h5h6h7g6a4a5d8a2a7e7e8a6a1b2c7b7a8b8c8f7f8g2h1h2g7h8g8,
Copa (Brasil),2022/1/1,22,Correia Jr. Moises,,Paie Correia Rafael,,A,,f5d6c3d3c4f3f4b5e3e2d2g4f1d1g5f6g3f2b4c5g6h6h5h3h7e6c2c1a6a4b3a3e7b6c7f7f8c6a7e8d8c8b8d7e1g2b1g7g1b2h1h2h4b7a1a2a5a8h8g8,
Copa (Brasil),2022/1/1,23,Fuzo Isaac,,De Camargo Lucas,,A,,f5f6c4f4e6d6e7c5b4f7g5g4h4g6d7c6c7d8h6h5f8b5b6c8e8g8h7h8g7h3g3g2h2h1g1f1f2f3e3e2b8b7d3d2c1d1e1c2a8a7a6c3a3a4a5b2a1b3a2b1,
Copa (Brasil),2022/1/1,24,Lisboa Guilherme,,Fritsch Evans,,A,,f5f6c4g5e6d6e7f4c5e3f3d3g3g4f2c3f7b4h3e2h4g6h5h7d1f1a3f8e8d8e1c1d7d2b5c8b3g8c7c2b2b1g2g1g7h8h6b8b7a1a2c6a8a7a6b6a4a5h2h1,
Copa (Brasil),2022/1/1,25,Dairokuno Mitsuru,,Silva Paulo,,A,,f5f6e6f4e3c5c4c3d3c2f3d6c6c7e7f8e8d8d7c8g4g3d2d1e2h4g5f2b5g6f1a5h3h2h6b4g1e1c1h5h1g2b1b2a4a3a1b3h7g7a6b6a2g8h8f7a7b7b8a8,
Copa (Brasil),2022/1/1,26,Fritsch Evans,,Paie Correia Lucas,,A,,f5f4e3d2f3d6d3f6e6f2e2d1f1d7c1b1g1c2g3h2h4g4c3c4c5b4b3a4b5a5c6b6a2b2a7a6a3g2a1e1h3h1g5h5h6g6h7g7h8e7f7f8g8e8c8d8c7b8b7a8,
Copa (Brasil),2022/1/1,27,Paie Correia Rafael,,Costa Mariana Pim,,A,,f5f6e6f4c3d6f7f8f3c4c6c5e7d7c7c8d3d2c2c1d1e3b1g3b3a3g6h5g4e2e1f1g1f2h4h3b4a4g5g2d8e8h1h2h6h7h8g7g8b2a1a2b5a6a5b6b8b7a7a8,
Copa (Brasil),2022/1/1,28,Silva Paulo,,Paie Correia Rafael,,A,,f5d6c6f6e6f4d3c5g4g5h6h5h4f7f8g6e7f3h7d7d8e8c4g3f2h2e3e1g1e2d2c2b1c3d1f1b4h1g2h3c1a1h8c8c7g8g7b8b7a8b6a6a7b5a5a4b3b2a2a3,
Copa (Brasil),2022/1/1,29,Fritsch Evans,,De Camargo Lucas,,A,,f5f6e6f4e3c5c4e7c6e2f3d3d2c3g4g5f1c2f2d1b3d6e1g1h5c1g3g6e8d7d8c8b8f7h6g7h8h7g2a3b2a1f8h1h2g8c7h3h4a8b4b7b1a2b6a6a7a5a4b5,
Copa (Brasil),2022/1/1,30,Correia Jr. Moises,,Dairokuno Mitsuru,,A,,f5d6c3d3c4f4e3f3f6e6g5e2d2b4e1f2g4g3a5h4b5c1c2h5g6e7h6h7f1f7f8b1e8d7h2b3c5a4d8a6a2c6c7c8b8g8h8h3g7b7a8a7a3b6b2h1g2g1d1,
Copa (Brasil),2022/1/1,31,Lisboa Guilherme,,Ceorlin Gilberto,,A,,f5f4e3d6e6f3d3f6c4c3e7b4e2f1e1f2g3d1g4h4c6f7g5e8f8g8d7d8c5g6d2c1c2b1a3b5b3a5a4a2b6a6c7c8b7b8a7a8h6g7h5h7h8h3g2h1g1h2a1b2,
Copa (Brasil),2022/1/1,32,De Camargo Lucas,,Dairokuno Mitsuru,,A,,f5d6c3d3c4f4c5b3c2e3d2c6b4f3e6a4b5g6e7b6a5a6d7e2a2c1d1e1b2c7f6a1a3d8b1e8f7g5h6f8h5h4h3g4f2f1g3g2h1h7g1h2h8g7g8c8b7a8a7b8,
Copa (Brasil),2022/1/1,33,Paie Correia Rafael,,Fritsch Evans,,A,,f5f6e6f4e3d6c6c5e7d3f3d7d8c4b5b6c7f8g3a6a4b4c2d2b3c3e2e8g6c8f7h6h5h4a5a3b7a7g5g4h3h2b2a2g2h1g1f1f2e1d1a1b1c1a8b8g7g8h8h7,
Copa (Brasil),2022/1/1,34,De Camargo Lucas,,Correia Jr. Moises,,A,,f5d6c3d3c4f3f4b5b4g3e3f6g4h3a6e2d2a4c5c6a3a2e6d7f1d1c1b1c2b3h4b6g5g6h2g2e1f2h1g1h5h6a5a7a1b2a8g7f7f8h7c8e8h8g8e7c7b8d8b7,
